city,number
Australia,7
Austria,25
Belgium,20
Brazil,15
Canada,19
France,16
Germany,14
Greece,24
India,6
Indonesia,4
Ireland,100
Italy,24
Japan,7
Malaysia,48
Mexico,10
Netherlands,9
Portugal,30
South Africa,20
Spain,15
Sweden,15
Thailand,9
Turkey,13
United Kingdom,22
United States,27
Venezuela,54
