city,number
Argentina,5
Australia,100
Austria,45
Belgium,29
Brazil,3
Canada,85
Chile,7
Czechia,27
Denmark,49
Finland,54
France,32
Germany,51
Hong Kong,33
Hungary,22
Ireland,32
Italy,16
Japan,6
Malaysia,5
Mexico,6
Netherlands,37
New Zealand,74
Norway,61
Philippines,6
Poland,16
Portugal,12
Russia,22
Singapore,19
South Africa,11
South Korea,10
Spain,18
Sweden,54
Switzerland,35
Taiwan,6
Turkey,1
Ukraine,6
United Kingdom,72
United States,98
